Go out	chūmén	出门
after	yǐhòu	以后
Ocean	dǎo hái	倒还
How Could	zěnme huì	怎么会
Can't See	kànbudào	看不到
Really	zhēnde	真的
Turn Head	huítóu	回头
Like This	zhèyàng	这样
To Be Afraid	pà	怕
Seaside	hǎibiān	海边
On The Ground	dìshang	地上
First Time	dìyīcì	第一次
From Young To Adulthood	cóngxiǎodàodà	从小到大
Outside	wàimiàn	外面
First Name	míngzì	名字
Missing	bùjiàn le	不见了
A Little While	yīhuìr	一会儿
Shouted	dàjiào	大叫
Come Out	chūlái	出来
Maybe/Possible	kěnéng	可能
At This Moment	zhèshíhòu	这时候
Hear	tīngdào	听到
Speak	shuōhuà	说话
Look	kànqǐlai	看起来
