Football	zúqiú	足球
Cricket	xīshuài	蟋蟀
Basketball	lánqiú	篮球
Badminton	yǔmáoqiú	羽毛球
Baseball	bàngqiú	棒球
Boxing	quánjī	拳击
Cycling	qí zìxíngchē	骑自行车
Darts	fēibiāo	飞镖
Diving	qiánshuǐ	潜水
Equestrian	qímǎ de	骑马的
Fencing	jījiàn	击剑
Golf	gāoěrfūqiú	高尔夫球
Hockey	qūgùnqiú	曲棍球
Horse Racing	pǎomǎ	跑马
Judo	róudào	柔道
Netball	cā wǎngqiú	擦网球
Rugby	gǎnlǎnqiú	橄榄球
Snooker	zǔnáo	阻挠
Table Tennis	pīngpāngqiú	乒乓球
Tennis	wǎngqiú	网球
Volleyball	páiqiú	排球
Weightlifting	jǔzhòng	举重
Wrestling	shuāijiǎo	摔角
Ball	qiú	球
